customer_id,customer_name,age,gender,occupation_sector,employment_years,education_level,city_tier,existing_bank_relationship,existing_products,declared_existing_emis,source_channel,inquiry_product,inquiry_date,inquiry_count_90d,app_logins_30d,emi_calculator_uses_30d,product_page_visits_30d,credit_bureau_score,monthly_income_actual,converted
CUST_00001,Aryan Maharaj,22,F,self_employed_business,1.0,below_10th,tier3,False,,13769.0,partner,mortgage_loan_lap,2026-04-17,1,4,1,4,608.0,131128.34,False
CUST_00002,Udant Dewan,43,M,salaried_pvt_other,19.0,diploma,tier2,False,,9055.0,referral,home_loan,2026-05-11,1,5,0,6,607.0,120000.0,False
CUST_00003,Gagan Sami,43,M,self_employed_professional,7.9,professional_degree,tier2,False,,0.0,website_organic,mortgage_loan_lap,2026-05-30,2,2,4,4,493.0,106862.15,False
CUST_00004,Ayushman Chander,60,M,self_employed_business,11.0,post_graduate,tier3,False,,0.0,referral,home_loan,2026-04-22,3,1,2,5,624.0,122607.88,False
CUST_00005,Viraj Tiwari,24,M,gig_worker,3.8,12th_pass,tier1,False,,5124.0,website_organic,auto_loan,2026-06-24,3,4,2,6,626.0,23905.4,False
CUST_00006,Rushil Saini,35,F,self_employed_business,8.3,diploma,tier2,False,,39818.0,referral,mortgage_loan_lap,2026-06-11,5,5,4,6,676.0,200000.0,True
CUST_00007,Saumya Mall,27,M,salaried_govt,1.7,graduate,tier1,False,,0.0,website_organic,personal_loan,2026-04-13,1,6,0,6,,55180.67,False
CUST_00008,Nathaniel Sami,51,F,salaried_govt,22.4,graduate,tier3,False,,10673.0,branch_walkin,mortgage_loan_lap,2026-04-27,4,5,0,0,759.0,67423.84,False
CUST_00009,Arunima Dugal,38,M,salaried_pvt_it,15.5,post_graduate,tier2,False,,0.0,campaign_click,auto_loan,2026-06-19,2,11,1,4,597.0,115776.81,False
CUST_00010,Gayathri Chaudry,22,M,self_employed_professional,2.0,post_graduate,tier1,False,,10589.0,partner,personal_loan,2026-04-17,4,3,2,6,,95115.95,False
CUST_00011,Lajita Chatterjee,60,M,salaried_pvt_other,7.9,graduate,tier2,False,,0.0,referral,personal_loan,2026-07-09,1,6,3,0,742.0,52795.47,False
CUST_00012,Hemangini Lalla,41,M,salaried_pvt_other,15.1,diploma,tier2,False,,0.0,campaign_click,personal_loan,2026-06-03,1,9,4,4,802.0,65499.94,True
CUST_00013,Tripti Yadav,50,M,salaried_pvt_other,24.3,diploma,tier3,False,,7803.0,website_organic,personal_loan,2026-04-26,1,9,4,3,719.0,86293.15,False
CUST_00014,Kritika Brar,27,M,salaried_pvt_it,3.6,professional_degree,tier1,False,,0.0,campaign_click,home_loan,2026-06-24,3,5,1,9,689.0,100559.55,False
CUST_00015,Janaki Handa,39,M,salaried_pvt_other,7.0,post_graduate,tier2,False,,0.0,branch_walkin,auto_loan,2026-06-05,5,3,1,7,728.0,66005.21,False
CUST_00016,Chakradev Kari,39,M,self_employed_business,14.3,diploma,tier1,False,,17382.0,partner,mortgage_loan_lap,2026-05-20,2,1,3,1,600.0,89105.46,False
CUST_00017,Fariq Kaul,50,M,salaried_govt,1.1,diploma,tier2,False,,0.0,campaign_click,home_loan,2026-04-25,1,12,3,3,639.0,124719.13,False
CUST_00018,Lajita Mall,22,M,self_employed_business,1.5,diploma,tier2,False,,0.0,campaign_click,home_loan,2026-05-04,1,7,1,6,688.0,95699.58,False
CUST_00019,Janya Gaba,30,F,gig_worker,3.1,post_graduate,tier3,False,,0.0,branch_walkin,auto_loan,2026-06-12,1,2,1,2,506.0,25123.92,False
CUST_00020,Isha Kadakia,24,F,salaried_pvt_other,0.6,post_graduate,tier1,False,,9339.0,referral,auto_loan,2026-04-23,3,7,1,3,601.0,59162.29,False
CUST_00021,Ekbal Garg,39,F,self_employed_professional,5.5,graduate,tier2,False,,22699.0,website_organic,auto_loan,2026-05-25,1,7,3,8,667.0,126136.85,False
